id,city,was_crawled,was_analyzed,channel_title_1,channel_description_1,URL_1,channel_title_2,channel_description_2,URL_2,channel_title_3,channel_description_3,URL_3,channel_title_4,channel_description_4,URL_4,channel_title_5,channel_description_5,URL_5,channel_title_6,channel_description_6,URL_6,channel_title_7,channel_description_7,URL_7,channel_title_8,channel_description_8,URL_8
AT00007192,boynton beach,yes,yes,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,https://www.youtube.com/channel/UCc2j0JhnR8Hx0Hj13RhCJag,Boynton Beach City Library,The Boynton Beach City Library enriches lives by inspiring learning and nurturing creativity.,https://www.youtube.com/channel/UCdypuOVJoXFppJYRjbD7U9Q,Boynton Arts,Art and Public Art in the City of Boynton Beach including The Kinetic Biennial.,https://www.youtube.com/channel/UCyV61p9x_BP3LGcDtrxk6Tg,,,,,,,,,,,,,,,
AT00007194,bradenton,yes,yes,Living in Sarasota - Bradenton,"Are you wondering what it's like to live in the Sarasota or Bradenton Florida areas? If so, this channel is for you! We absolutely ...",https://www.youtube.com/channel/UCWGyIJQGSbE1xxdKd844eDQ,Sarasota Bradenton International Airport,Welcome to the official page of the Sarasota Bradenton International Airport! We are your town and travel destination for the ...,https://www.youtube.com/channel/UCT1JiSNe8y5jmibd8QCzk8w,City Life Church Bradenton,"Welcome to City Life Church Bradenton. We are an Assemblies of God Church location in the heart of Downtown Bradenton, ...",https://www.youtube.com/channel/UCEBkTfWIh0WNoD0yvFQia9w,Bradenton Police Department,"The Bradenton Police Department is located in the waterfront community of Bradenton, Florida, just south of Tampa Bay. BPD is ...",https://www.youtube.com/channel/UCvm_fyUafJrvgJiLQfwPWtw,Bradenton Area EDC,Discover what the Bradenton Area on Florida's west coast offers your business that other communities don't. Explore our channel ...,https://www.youtube.com/channel/UC7Z0_6KCQhM_UqbcNyaqtSA,,,,,,,,,
AT00007199,branford,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007201,brent,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007204,briny breezes,yes,yes,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,https://www.youtube.com/channel/UCc2j0JhnR8Hx0Hj13RhCJag,City of Boynton Beach,,https://www.youtube.com/channel/UCHxHJQCYf067_qYAmq9lKcw,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",https://www.youtube.com/channel/UC0bCUnP5RrkJZUtd3bBz6Kw,WPB-TV,Welcome to the City of West Palm Beach's official YouTube channel. We broadcast live and prerecorded city meetings and videos ...,https://www.youtube.com/channel/UC8I5opEq1KM8XVH3Rervmkw,LIVING IN PALM BEACH FLORIDA,"Originally from New York, I relocated my family to South Florida 18 years ago. Knowing that we wanted to live in Florida but not ...",https://www.youtube.com/channel/UC6KcefKj7mvfC2wb3ED-lCQ,,,,,,,,,
AT00007206,bristol,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007209,bronson,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007210,brooker,yes,yes,"City of Gainesville, Florida",The latest videos from the City of Gainesville's Communications Office.,https://www.youtube.com/channel/UCPRBTIJPBe60dKAtgCHYwpQ,City of Newberry,Official YouTube channel for the City of Newberry. Includes commission meetings and other municipal government meetings.,https://www.youtube.com/channel/UC9MNwMuigm3PeKHacwz2xQQ,,,,,,,,,,,,,,,,,,
AT00007212,brooksville,yes,yes,"Florida's Adventure Coast, Brooksville - Weeki Wachee",Hernando County is Florida's Adventure Coast. Visit the small cities of Weeki Wachee and Brooksville for magical mermaids and ...,https://www.youtube.com/channel/UCAEh6z7dVZmy50RWIy9qpOg,Faith Church Brooksville,"This channel is the official video site of sermon content for Faith Church in Brooksville, Florida. Faith Church is a Bible-believing ...",https://www.youtube.com/channel/UCCw4buUG0pjbie24fSnHVRg,,,,,,,,,,,,,,,,,,
AT00007222,bunnell,yes,yes,"City of Crescent City, Florida","Crescent City, FL is located between Two bodies of water, Crescent Lake lies to the east of the town and Lake Stella lies to the ...",https://www.youtube.com/channel/UCak1_v7UFM8nqIviX53nzaA,City of Palm Coast,Welcome to the official YouTube Channel of the City of Palm Coast - your all-in-one resource for everything Palm Coast. Here you ...,https://www.youtube.com/channel/UCutMtNq3Rm4NzsRYtNMHSAg,,,,,,,,,,,,,,,,,,
AT00007224,bushnell,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007228,callahan,yes,yes,"Town of Callahan, Florida",,https://www.youtube.com/channel/UCXsqLRFDQfAe-arU9o-9ImA,Nassau County,Official Nassau County Florida YouTube Channel.,https://www.youtube.com/channel/UCPcL9uy37-oy_iX1ka_fW8Q,,,,,,,,,,,,,,,,,,
AT00007229,callaway,yes,yes,"Hiland Park Baptist Church of Panama City, FL",,https://www.youtube.com/channel/UC_fv76e-azht11m4LwbUQ9Q,City of Lynn Haven Florida,Lynn Haven City Commission meetings are normally held on the second and fourth Tuesdays of the month in the Chambers ...,https://www.youtube.com/channel/UCIQF6ORilTNOq43451WT0YA,,,,,,,,,,,,,,,,,,
AT00007232,campbellton,yes,yes,City of Dothan AL,Welcome to the City of Dothan Youtube Channel. Here you will find our Live streams and city government official video postings.,https://www.youtube.com/channel/UCjQLzllGnzicLNiMMzcLwKQ,,,,,,,,,,,,,,,,,,,,,
AT00007235,cape canaveral,yes,yes,City of Cocoa Beach - Government,"IMPORTANT NOTICE UNDER FLORIDA'S PUBLIC RECORDS LAW: Please be aware that under Chapter 119, Florida Statutes, ...",https://www.youtube.com/channel/UCzVNSjCc0HnwzvaDCtpAj5A,Mayor Wes Morrison,"Honored to serve as the 15th Mayor for the City of Cape Canaveral, Florida | Working with the people of Cape Canaveral to ...",https://www.youtube.com/channel/UCchVVTpR01PJGdZkzX9e9Hg,"City of Cocoa, Florida","IMPORTANT NOTICE UNDER FLORIDA'S PUBLIC RECORDS LAW: Please be aware that under Chapter 119, Florida Statutes, ...",https://www.youtube.com/channel/UCbWJK7XQyPVBmp15Fwoa4jA,CityofCapeCanaveral,,https://www.youtube.com/channel/UCAZnr7gnDxma61qIkjCg2Dg,,,,,,,,,,,,
AT00007236,cape coral,yes,yes,Cape TV,CapeTV is the City of Cape Coral's government information channel carried on Comcast Channel 98 and CenturyLink Prism ...,https://www.youtube.com/channel/UCN4YHY9Svp-Hn-qoPNiVXCw,City of Cape Coral,,https://www.youtube.com/channel/UCKom-yXEEOETFJS0-MnfcbA,,,,,,,,,,,,,,,,,,
AT00007238,captiva,yes,yes,Town of Fort Myers Beach FL,,https://www.youtube.com/channel/UCTF-wEnfKoqXo9WOk-1ev5w,Cape TV,CapeTV is the City of Cape Coral's government information channel carried on Comcast Channel 98 and CenturyLink Prism ...,https://www.youtube.com/channel/UCN4YHY9Svp-Hn-qoPNiVXCw,SCCFSanibelCaptiva,"Founded in 1967, SCCF's (The Sanibel-Captiva Conservation Foundation) mission is to protect and care for Southwest Florida's ...",https://www.youtube.com/channel/UCHdQcbDAEJdWNMHLll3orqA,,,,,,,,,,,,,,,
AT00007241,carrabelle,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007242,carrollwood,yes,yes,Carrollwood Village HOA,"Carrollwood Village Homeowners Association in Tampa, Florida.",https://www.youtube.com/channel/UCS6lTmBMhXqlzGJ1_fdl2QQ,Living in Tampa Bay FL,"This channel is all about living in Tampa Bay Florida, moving to Tampa Florida, and relocating to Tampa Florida. We also cover ...",https://www.youtube.com/channel/UCCGGIb2F6DOV4gtA-R6ZFCQ,Hillsborough County,"Welcome to Hillsborough County's YouTube channel. Your one stop shop for information regarding programs, services, and ...",https://www.youtube.com/channel/UC-ltrT7T2PDRdEEoU5NtOEg,,,,,,,,,,,,,,,
AT00007244,caryville,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007245,casselberry,yes,yes,"City of Sanford, FL","Official Youtube Channel of City of Sanford, Florida. There's Always Something Going On in Historic Sanford. As one of the oldest ...",https://www.youtube.com/channel/UCrOGg6n2Qjw6yujcrwc0Z3g,,,,,,,,,,,,,,,,,,,,,
AT00007247,cedar grove,yes,yes,COTUtilities,"For videos from the City of Tallahassee, visit https://www.youtube.com/user/WCOT Please note: The City of Tallahassee is not ...",https://www.youtube.com/channel/UC7PU0-rS-5muovkjZV7VyrQ,,,,,,,,,,,,,,,,,,,,,
AT00007248,cedar key,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007251,center hill,yes,yes,Tampa Bay History Center,"The official YouTube channel for the Tampa Bay History Center featuring videos from our historians, curators and staff, on Tampa ...",https://www.youtube.com/channel/UCi8tJp_9QgFQE4KycX43B9g,,,,,,,,,,,,,,,,,,,,,
AT00007252,century,yes,yes,"City of Sanford, FL","Official Youtube Channel of City of Sanford, Florida. There's Always Something Going On in Historic Sanford. As one of the oldest ...",https://www.youtube.com/channel/UCrOGg6n2Qjw6yujcrwc0Z3g,City of Oakland Park,"Oakland Park is a City on the move! As a hometown choice for excellence in people and service, we are an inclusive community ...",https://www.youtube.com/channel/UCY2Lsf5xrL2KXmAd0XXUXPA,,,,,,,,,,,,,,,,,,
AT00007258,chattahoochee,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007261,chiefland,yes,yes,City of Newberry,Official YouTube channel for the City of Newberry. Includes commission meetings and other municipal government meetings.,https://www.youtube.com/channel/UC9MNwMuigm3PeKHacwz2xQQ,,,,,,,,,,,,,,,,,,,,,
AT00007262,chipley,yes,yes,"Offical Town of Wausau, Florida","Welcome to the Official YouTube Channel for the Town of Wausau, Florida. Wausau, as you probably have guessed by now, is the ...",https://www.youtube.com/channel/UCwC5F5UefceMToWGjntPtbQ,Fourteenth Judicial Circuit of Florida,"YouTube Channel for the Fourteenth Judicial Circuit of Florida. Our Vision: Justice in Florida will be Accessible, Fair, Effective, ...",https://www.youtube.com/channel/UCZKMHi6_-072bacbDowUqpA,,,,,,,,,,,,,,,,,,
AT00007269,cinco bayou,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007271,citrus park,yes,yes,City of Tampa,"Tampa, home to over 340000 residents, is a vibrant, dynamic and beautiful city. Located on the banks of the Hillsborough River, ...",https://www.youtube.com/channel/UCx4-4RHo_bhTMQJNh6Du0AA,,,,,,,,,,,,,,,,,,,,,
AT00007277,clearwater,yes,yes,City of Clearwater,"Thank you for visiting the YouTube channel for the bright and beautiful city of Clearwater, Florida. Learn more at ...",https://www.youtube.com/channel/UCKr9me5QJuC173tnPh_4k9g,Realty Executives Gallery Clearwater,Realty Executives Gallery - Clearwater.,https://www.youtube.com/channel/UCwduIWEkjbt0TCqFcHF9_XQ,Clearwater Police Department,Official You Tube Channel of the Clearwater Police Department and Clearwater Fire & Rescue.,https://www.youtube.com/channel/UCWwD99G5I7IOvOR00bsTDIw,,,,,,,,,,,,,,,
AT00007279,clermont,yes,yes,City of Clermont Government,"Official YouTube channel for the city of Clermont, Florida.",https://www.youtube.com/channel/UCoRJ3ToTTjZw4AxMoMfX-og,Clermont CityGuide,"Clermont Florida's Resource Directory of Events, Community, Business, and Lifestyle of our Gem of the Hill. ""'The Best in Our ...",https://www.youtube.com/channel/UCWaK8r50rGMbf_zJ5bXlSOg,,,,,,,,,,,,,,,,,,
AT00007281,clewiston,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,
AT00007282,cloud lake,yes,yes,City of Delray Beach,Delray Beach is a vibrant city with historic charm and award-winning beaches. www.delraybeachfl.gov.,https://www.youtube.com/channel/UCc2j0JhnR8Hx0Hj13RhCJag,WPTV News - FL Palm Beaches and Treasure Coast,"WPTV NewsChannel 5, the NBC affiliate in West Palm Beach, is Florida's top rated television station. WPTV covers Palm Beach ...",https://www.youtube.com/channel/UC0bCUnP5RrkJZUtd3bBz6Kw,,,,,,,,,,,,,,,,,,
AT00007285,cocoa,yes,yes,"City of Cocoa, Florida","IMPORTANT NOTICE UNDER FLORIDA'S PUBLIC RECORDS LAW: Please be aware that under Chapter 119, Florida Statutes, ...",https://www.youtube.com/channel/UCbWJK7XQyPVBmp15Fwoa4jA,City of Cocoa Beach - Government,"IMPORTANT NOTICE UNDER FLORIDA'S PUBLIC RECORDS LAW: Please be aware that under Chapter 119, Florida Statutes, ...",https://www.youtube.com/channel/UCzVNSjCc0HnwzvaDCtpAj5A,Virtual Railfan,"Official channel of Virtual Railfan, Inc. Virtual Railfan is the premiere provider for live train cams all over the United States ...",https://www.youtube.com/channel/UCOIkT9bq-1N2BvrsBjhNlag,,,,,,,,,,,,,,,
AT00007288,coconut creek,yes,yes,Town of Davie TV,"This is the official ""YouTube"" home of the Town of Davie, Florida, government. Our Public Information Office is responsible for the ...",https://www.youtube.com/channel/UClAfziZQ5Gra8DrGRzyq37w,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,"City of Sunrise, Florida","The City of Sunrise, located in western Broward County, Florida is home to approximately 92000 residents and host to several ...",https://www.youtube.com/channel/UCwWs-vZ6h-5P6XvQOCllSCA,City of Hollywood,"The City of Hollywood, Florida's YouTube Channel contains videos produced by the Office of Communications, Marketing and ...",https://www.youtube.com/channel/UCVtTjaaajzCaWsMxHBmTIsA,,,,,,,,,,,,
AT00007290,coleman,yes,yes,The Villages Florida,"The Villages is an active retirement community located in sunny central Florida. Conceived over 50 years ago, our hometown has ...",https://www.youtube.com/channel/UC4UimES_xLEu_7VPyMrIeKA,LakeFront TV,Lake Front TV is the 24/7 television channel based in Lake County. . We provide quality community programming profiling the best ...,https://www.youtube.com/channel/UCxoj144x33hmdvwm2Upiyhg,,,,,,,,,,,,,,,,,,
AT00007294,cooper city,yes,yes,City of Fort Lauderdale,"WeAreFTL: the official channel for the City of #FortLauderdale, a breathtaking coastal community in the heart of south Florida that ...",https://www.youtube.com/channel/UCsjG_WlAS2qv-Hic6K16o3w,"City of Opa-locka, FL",City of Opa-locka's Official YouTube Channel.,https://www.youtube.com/channel/UCOAsS_oXDEida5PdhtJwYuA,Town of Miami Lakes,"When it incorporated in December 2000, the Town of Miami Lakes became the 31st municipality in Miami-Dade County. Known ...",https://www.youtube.com/channel/UCSCzXpZ82FfA5udLY6WynCQ,City of Cooper City,"Welcome to the official City of Cooper City, FL, government YouTube video channel. The City of Cooper City is located in ...",https://www.youtube.com/channel/UCfI44gsL78qpt3N3IqntfIw,"City of Cooper City, Florida",,https://www.youtube.com/channel/UCd9KlqGXvavCOCj2HlbzizA,The Pentecostals of Cooper City,"The Pentecostals of Cooper City is located in South Florida. 5201 South Flamingo Rd. Cooper City, FL 33330 ...",https://www.youtube.com/channel/UC_NQvCyBbMGWI4gUqtIF-UQ,Cooper City Church of God,The official channel of the Cooper City Church of God.,https://www.youtube.com/channel/UConZUrWS0lPxAZNDGedLdVg,,,
AT00007295,coral gables,yes,yes,City of Coral Gables,This is a government access channel of the City of Coral Gables. It was created to provide information about government ...,https://www.youtube.com/channel/UCD5_-pGp2NnbjtB20u3hP6A,,,,,,,,,,,,,,,,,,,,,
